station_id,station_name,stn_lat,stn_lon,stnz
USC00419588,WESLACO,26.1781,-97.9708,22.9
USR0000TLAG,LAGUNA ATASCOSA TEXAS,26.2283,-97.3483,7.6
USW00012904,HARLINGEN RIO GRANDE VLY INTL,26.2303,-97.6556,9.4
USW00012924,CORPUS CHRISTI,27.7839,-97.5114,43.3
USW00012928,KINGSVILLE NAAS,27.5089,-97.8042,13.4
USW00012957,PORT ISABEL CAMERON CO AP,26.1597,-97.3378,5.2
USC00080945,BRADENTON 5 ESE,27.4467,-82.5014,6.1
USC00083153,FT GREEN 12 WSW,27.5728,-82.1392,34.1
USC00084802,LAKELAND 2,27.9944,-82.0139,42.4
USC00086065,MYAKKA RVR SP,27.24,-82.3153,5.8
USC00088782,TAMPA BAY AREA WFO,27.7053,-82.4008,12.2
USC00089176,VENICE,27.1006,-82.4364,2.4
USW00012842,TAMPA INTL AP,27.9633,-82.54,1.8
USW00012871,SARASOTA BRADENTON AP,27.4014,-82.5586,5.2
USW00012873,ST PETERSBURG CLEARWATER INTL,27.9125,-82.6856,0.0
USW00092806,ST PETERSBURG ALBERT WHITTED A,27.7683,-82.6256,1.2
USC00080236,ARCHBOLD BIO STN,27.1819,-81.3508,42.7
USC00080478,BARTOW 1SE,27.8861,-81.8325,33.8
USC00080737,BIG CYPRESS,26.3283,-80.9958,4.6
USC00081276,CANAL PT USDA,26.8639,-80.6256,9.1
USC00083163,FT LAUDERDALE,26.1019,-80.2011,4.9
USC00083168,FT LAUDERDALE BEACH,26.1408,-80.1061,1.2
USC00083207,FT PIERCE,27.4419,-80.3508,7.6
USC00084050,HOLLYWOOD,26.0281,-80.1342,2.7
USC00084461,JUNO BEACH,26.86,-80.0553,1.5
USC00084500,KENANSVILLE,27.8703,-81.0436,18.6
USC00084621,KISSIMMEE PRAIRIE PRESERVE,27.6039,-81.0531,21.9
USC00085184,LOXAHATCHEE NWR,26.4986,-80.2161,6.4
USC00085895,MOORE HAVEN LOCK 1,26.84,-81.0872,10.7
USC00085973,MTN LAKE,27.9378,-81.5992,38.1
USC00086092,NETTLES IS,27.2878,-80.2214,3.0
USC00086761,PALM BAY,27.9153,-80.6458,8.2
USC00086764,PALM BEACH GARDENS,26.8261,-80.1489,6.1
USC00087304,PORT SALERNO 5W,27.0997,-80.2628,3.7
USC00088368,S BAY 15 S,26.47,-80.6403,6.1
USC00088620,STUART,27.1897,-80.2397,4.0
USC00089219,VERO BEACH 4SE,27.6528,-80.4031,6.1
USC00089401,WAUCHULA,27.5478,-81.7994,18.3
USR0000FMIL,MILES CITY FLORIDA,26.2483,-81.2967,4.6
USW00012812,PUNTA GORDA CHARLOTTE CO AP,26.9183,-81.9939,6.1
USW00012835,FT MYERS PAGE FLD AP,26.585,-81.8614,4.0
USW00012843,VERO BEACH INTL AP,27.6553,-80.4142,5.8
USW00012844,W PALM BEACH INTL AP,26.685,-80.0992,3.7
USW00012849,FT LAUDERDALE INTL AP,26.0789,-80.1622,0.9
USW00012885,FT LAUDERDALE EXECUTIVE AP,26.1992,-80.1778,3.7
USW00012894,FT MYERS SW FLORIDA RGNL AP,26.5381,-81.7567,8.2
USW00012895,FT PIERCE ST LUCIE CO INTL AP,27.4981,-80.3764,5.8
USW00012897,NAPLES MUNI AP,26.155,-81.7753,2.1
USW00092805,POMPANO BEACH AIRPARK,26.2464,-80.1111,4.6
USW00092827,SEBRING 23 SSE,27.1525,-81.3689,45.7
MXM00076225,CHIHUAHUA,28.6333,-106.083,1428.0
USW00000471,PRESIDIO LELY INTL AP,29.6342,-104.361,896.1
USC00411524,CASTOLON,29.1333,-103.514,661.1
USC00411715,CHISOS BASIN,29.2703,-103.3,1615.4
USC00414950,LAJITAS,29.2694,-103.757,732.4
USC00416792,PANTHER JUNCTION,29.3272,-103.206,1140.0
USC00416959,PERSIMMON GAP,29.6603,-103.174,873.3
USC00417624,RIO GRANDE VILLAGE,29.1853,-102.962,566.3
USR0000TCHI,CHISOS BASIN TEXAS,29.2667,-103.3,1645.9
USR0000TPAN,PANTHER JUNCTION TEXAS,29.3167,-103.2,1143.0
USW00022016,PANTHER JUNCTION 2 N,29.3483,-103.209,1065.0
USC00410225,AMISTAD DAM,29.4608,-101.029,352.7
USW00000270,FAITH RCH AP,28.2089,-100.019,236.2
USW00022001,DEL RIO LAUGHLIN AFB,29.3667,-100.783,329.8
USW00022010,DEL RIO INTL AP,29.3783,-100.927,305.7
USC00410902,BOERNE,29.7986,-98.7353,440.4
USC00411337,CALLIHAM,28.4658,-98.3539,66.4
USC00411429,CANYON DAM,29.8608,-98.1958,304.8
USC00411486,CARRIZO SPRINGS 3S,28.4894,-99.8733,186.8
USC00411720,CHOKE CANYON DAM,28.4675,-98.2525,70.1
USC00412125,CROSS,28.5978,-98.5547,86.9
USC00415742,MEDINA 1NE,29.81,-99.2497,521.8
USC00416273,NEW BRAUNFELS WFO,29.7044,-98.0283,191.1
USC00416879,PEARSALL,28.8889,-99.0897,193.5
USC00417111,PLEASANTON,28.9606,-98.4772,109.1
USC00417215,POTEET,29.0281,-98.5686,129.5
USC00417232,PRADE RCH,29.9167,-99.7908,625.4
USR0000TGEO,GEORGE WEST TEXAS,28.3667,-98.1167,65.5
USW00000130,PLEASANTON MUNI AP,28.95,-98.5169,131.1
USW00000177,CASTROVILLE MUNI AIRPORT,29.85,-98.85,235.0
USW00000263,BOERNE STAGE FIELD AP,29.7239,-98.695,422.1
USW00012909,SAN ANTONIO KELLY AFB,29.3833,-98.5833,207.9
USW00012911,RANDOLPH AFB,29.5325,-98.2622,221.9
USW00012921,SAN ANTONIO INTL AP,29.5442,-98.4839,243.5
USW00012947,COTULLA LA SALLE CO AP,28.4586,-99.2228,143.9
USW00012961,KERRVILLE MUNI AP,29.9833,-99.0833,492.9
USW00012962,HONDO MUNI AP,29.36,-99.1742,281.0
USW00012970,SAN ANTONIO STINSON MUNI AP,29.3389,-98.4719,173.1
USW00012971,AUSTIN SAN ANTONIO,29.7042,-98.0286,233.8
USW00012985,GARNER FLD AP,29.2114,-99.7436,287.1
USC00410436,AUSTWELL,28.3889,-96.8389,7.0
USC00410639,BEEVILLE 5 NE,28.4575,-97.7061,77.7
USC00411671,CHEAPSIDE,29.3092,-97.4061,111.3
USC00411880,COLETO CREEK RSVR,28.7156,-97.1742,36.0
USC00411911,COLUMBUS,29.6989,-96.5731,68.6
USC00412173,CUERO,29.0892,-97.3433,65.2
USC00412266,DANEVANG 1 W,29.0567,-96.2319,21.3
USC00412676,EAGLE LAKE RESCH CTR,29.6211,-96.3661,53.6
USC00412786,EL CAMPO,29.2,-96.2653,33.5
USC00413873,HALLETTSVILLE 2 N,29.4706,-96.9397,83.8
USC00415429,LULING,29.6756,-97.6578,121.9
USC00415661,MATHIS 4 SSW,28.0372,-97.8725,42.1
USC00416368,NIXON,29.2828,-97.7675,103.6
USC00417140,PT COMFORT,28.6575,-96.5553,6.1
USC00417704,ROCKPORT,28.0183,-97.0567,3.0
USC00417983,SAN MARCOS,29.8833,-97.9494,202.7
USC00419367,VICTORIA RGNL AP,28.8439,-96.9214,31.7
USC00419559,WELDER WILDLIFE FOUNDATION,28.1136,-97.4178,15.2
USC00419952,YOAKUM,29.2739,-97.1556,89.9
USR0000TARA,ARANSAS TEXAS,28.25,-96.75,0.0
USR0000TATT,ATTWATER NWR TEXAS,29.6617,-96.2597,12.5
USR0000TLGR,LA GRANGE TEXAS,29.9075,-96.86,47.2
USR0000TVIC,VICTORIA TEXAS,28.8461,-96.9217,7.0
USW00000477,ROGER M DREYER MEM AP,29.5292,-97.4642,108.2
USW00012912,VICTORIA RGNL AP,28.8625,-96.93,33.8
USW00012935,PALACIOS MUNI AP,28.7247,-96.2536,3.0
USW00012953,WHARTON RGNL AP,29.2661,-96.0075,30.5
USW00012972,ROCKPORT ARANSAS CO AP,28.0836,-97.0467,7.3
USW00012978,FAYETTE RGNL AP,29.9078,-96.95,98.8
USW00012979,SAN MARCOS MUNI AP,29.8908,-97.8644,182.0
USW00023906,PORT ARANSAS 32 NNE,28.3044,-96.8231,4.6
USC00410569,BAY CITY WTR WKS,28.9797,-95.975,15.8
USC00410586,BAYTOWN,29.9142,-94.9908,7.9
USC00413340,FREEPORT 2 NW,28.9844,-95.3808,2.4
USC00414333,HOUSTON NWSO,29.4717,-95.0833,5.8
USC00418728,SUGAR LAND,29.6197,-95.6575,23.5
USR0000TANA,ANAHUAC NWR TEXAS,29.6692,-94.4383,1.5
USR0000TBRA,BRAZORIA NWR TEXAS,29.1417,-95.2917,3.0
USR0000TMCF,MCFADDEN TEXAS,29.7,-94.1167,1.5
USR0000TSAB,SAN BERNARD TEXAS,28.8647,-95.5678,6.4
USW00012917,PORT ARTHUR SE TX RGNL AP,29.9519,-94.0261,4.0
USW00012918,HOUSTON WILLIAM P HOBBY AP,29.6458,-95.2822,13.1
USW00012923,GALVESTON SCHOLES FLD,29.2703,-94.8642,1.5
USW00012960,HOUSTON INTERCONTINENTAL AP,29.9844,-95.3608,27.4
USW00012975,HOUSTON CLOVER FLD,29.5192,-95.2422,11.9
USW00012976,ANGLETON LK JACKSON BRAZORIA C,29.1153,-95.4633,7.6
USW00012977,HOUSTON SUGARLAND MEM,29.6197,-95.6575,23.5
USW00012981,BAY CITY MUNI AP,28.9731,-95.8633,13.7
USC00165296,LELAND BOWMAN LOCK,29.7856,-92.2047,12.2
USC00163313,FRANKLIN 3 NW,29.8233,-91.5442,3.7
USC00164674,JEANERETTE 5 NW,29.9592,-91.7108,6.1
USC00169013,THIBODAUX 4 SE,29.7547,-90.7747,4.6
USW00012916,NEW ORLEANS AP,29.9975,-90.2778,-0.9
USW00012930,NEW ORLEANS AUDUBON,29.9167,-90.1303,6.1
USW00012968,SALT PT,29.5589,-91.525,0.9
USC00166130,CHALMETTE,29.9486,-89.9855,0.9
USC00080211,APALACHICOLA AP,29.7258,-85.0206,6.1
USW00012832,APALACHICOLA AP,29.7269,-85.0247,5.5
USC00082008,CROSS CITY 1 E,29.6333,-83.1053,12.8
USC00084289,INVERNESS 3 SE,28.8028,-82.3128,17.7
USC00086414,OCALA,29.1639,-82.0778,22.9
USC00087205,PLANT CITY,28.0208,-82.1386,33.5
USC00087851,SAINT LEO,28.3378,-82.26,57.9
USC00088824,TARPON SPGS SEWAGE PLT,28.1522,-82.7539,1.8
USC00089120,USHER TWR,29.4081,-82.8189,10.1
USR0000FLSU,LOWER SUWANNEE FLORIDA,29.3731,-83.0344,4.6
USW00012816,GAINESVILLE RGNL AP,29.6917,-82.2761,40.5
USW00012818,BROOKSVILLE HERNANDO CO AP,28.4739,-82.4536,19.8
USW00012833,CROSS CITY AP,29.6333,-83.1053,11.6
USW00012861,OCALA JIM TAYLOR FLD,29.1667,-82.2333,26.5
USW00012883,LAKELAND LINDER RGNL AP,28.0,-82.05,45.1
USC00081641,CLERMONT 9 S,28.4558,-81.7233,39.6
USC00082150,DAYTONA BEACH,29.1967,-81.0083,8.8
USC00082229,DELAND 1 SSE,29.0097,-81.2981,7.6
USC00083874,HASTINGS 4NE,29.7653,-81.4697,3.0
USC00084625,KISSIMMEE 2,28.2764,-81.4239,18.3
USC00085076,LISBON,28.8728,-81.7844,20.7
USC00085612,MELBOURNE WFO,28.1136,-80.6539,10.7
USC00086634,ORLANDO W,28.5083,-81.5467,45.7
USC00086767,PALM COAST 6NE,29.6319,-81.2061,1.5
USC00087228,MT PLYMOUTH 1SSW,28.7992,-81.5372,27.4
USC00087261,NEW SMYRNA BCH - MARINE DISCOV,29.0361,-80.9181,4.9
USC00087982,SANFORD,28.8147,-81.2778,3.7
USC00088051,SCOTTSMOOR 2.5 SSW,28.73,-80.8794,12.8
USC00088942,TITUSVILLE,28.6242,-80.8169,4.9
USR0000FCEN,CENTRAL FLORIDA,29.105,-81.63,18.6
USR0000FMER,MERRITT ISLAND FLORIDA,28.6408,-80.7308,9.1
USW00012815,ORLANDO INTL AP,28.4183,-81.3242,27.1
USW00012819,LEESBURG MUNI AP,28.8214,-81.8097,20.7
USW00012834,DAYTONA BEACH INTL AP,29.1736,-81.0719,7.9
USW00012838,MELBOURNE INTL AP,28.0997,-80.6356,6.7
USW00012841,ORLANDO EXECUTIVE AP,28.5467,-81.3356,31.7
USW00012854,ORLANDO SANFORD AP,28.7794,-81.2436,14.9
USW00012876,WINTER HAVEN GILBERT AP,28.0614,-81.7569,43.6
USW00092814,ST AUGUSTINE AP,29.9592,-81.3397,3.0
USW00092821,TITUSVILLE 7 E,28.6158,-80.6928,0.9
MXM00076061,PUERTO PENASCO  SON.,31.3,-113.55,62.0
USC00026132,ORGAN PIPE CACTUS NM,31.9556,-112.8,511.5
USC00020287,ANVIL RCH,31.9792,-111.384,840.9
USC00020683,BENSON 6 SE,31.8806,-110.24,1124.7
USC00022140,CORONADO NMEM,31.3456,-110.254,1597.8
USC00023668,GREEN VALLEY,31.8931,-110.998,883.9
USC00024534,KARTCHNER CAVERNS,31.8353,-110.355,1429.5
USC00025924,NOGALES 6 N,31.4553,-110.968,1054.9
USC00026282,PATAGONIA PATON CTR,31.5392,-110.76,1232.6
USC00027619,SASABE,31.4831,-111.544,1094.2
USC00027880,SIERRA VISTA,31.5369,-110.281,1403.9
USC00027990,SONOITA,31.6811,-110.655,1492.0
USC00028619,TOMBSTONE,31.7119,-110.069,1420.1
USC00028865,TUMACACORI NM,31.5678,-111.05,995.8
USR0000ACAA,CARR ARIZONA,31.445,-110.28,1645.9
USR0000AEMP,EMPIRE ARIZONA,31.7806,-110.635,1417.3
USR0000AHPK,HOPKINS ARIZONA,31.6753,-110.88,2170.2
USR0000ASAS,SASABE ARIZONA,31.6908,-111.45,1066.8
USR0000ASES,SELLES ARIZONA,31.91,-111.897,721.2
USW00003196,NOGALES INTL AP,31.4208,-110.847,1193.0
USW00053132,ELGIN 5 S,31.5908,-110.509,1466.4
USW00053146,FT HUACHUCA PIONEER AIRFIELD,31.6056,-110.428,1445.4
USC00025418,MC NEAL,31.6017,-109.669,1271.0
USC00026242,PARADISE,31.9353,-109.219,1664.2
USC00290426,ANTELOPE WELLS,31.3347,-108.53,1419.8
USR0000ARUC,RUCKER ARIZONA,31.7611,-109.349,1737.4
USW00093026,DOUGLAS (BISBEE) INTL AP,31.4583,-109.607,1247.9
USC00298127,SANTA TERESA AP,31.8728,-106.698,1252.4
USC00419088,TORNILLO 2 SSE,31.4019,-106.057,1088.1
USW00023044,EL PASO INTL AP,31.8122,-106.377,1202.1
USC00413266,FT HANCOCK 8SSE,31.1847,-105.741,1064.7
USC00414770,KENT 8SE,31.0158,-104.111,1402.7
USC00415590,MARFA AP,30.3667,-104.017,1473.1
USC00416104,MT LOCKE,30.6711,-104.023,2069.6
USC00419270,VALENTINE,30.5939,-104.493,1355.4
USC00419295,VAN HORN,31.0417,-104.837,1239.0
USR0000TGUA,GUADELUPE PEAK TEXAS,31.925,-104.825,2363.7
USR0000TPIN,PINERY TEXAS,31.8944,-104.798,1640.1
USW00023055,PINE SPGS GUADALUPE MOUNTAINS,31.8328,-104.809,1655.1
USC00410176,ALPINE 7NW,30.3703,-103.781,1500.2
USC00412082,CRANE,31.4072,-102.358,778.5
USC00412084,CRANE 10N,31.6728,-102.413,892.1
USC00413262,FT DAVIS,30.5997,-103.887,1482.5
USC00413280,FT STOCKTON,30.9072,-102.915,926.0
USC00415707,MCCAMEY,31.1331,-102.222,750.1
USC00415893,WFO MIDLAND,31.9425,-102.189,875.4
USW00003031,ODESSA SCHLEMEYER FLD,31.925,-102.388,909.2
USW00003032,DRYDEN TERRELL CO AP,30.0481,-102.213,701.0
USW00003047,MONAHANS 6 ENE,31.6219,-102.807,830.3
USW00003049,ALPINE CASPARIS AP,30.3833,-103.683,1375.6
USW00003058,PECOS MUNI AP,31.3825,-103.511,796.4
USW00023023,MIDLAND ODESSA,31.9433,-102.189,902.8
USW00023040,WINK FAA AP,31.78,-103.202,858.3
USW00023091,FT STOCKTON PECOS CO AP,30.9119,-102.917,917.8
USC00411974,COPE RCH,31.5333,-101.284,755.9
USC00412809,ELDORADO,30.8694,-100.599,743.7
USC00413257,FT MCKAVETT,30.8272,-100.11,661.1
USC00415861,MERTZON 12NNW,31.4364,-100.878,672.1
USC00417706,ROCKSPRINGS,30.0239,-100.212,726.0
USC00417944,SAN ANGELO WFO,31.3708,-100.494,576.1
USC00419499,WATER VALLEY,31.6725,-100.728,644.7
USR0000TBAR,BARNHART TEXAS,30.9856,-101.158,780.9
USW00023034,SAN ANGELO,31.3714,-100.493,610.8
USC00410493,BALLINGER 2 NW,31.7414,-99.9764,518.2
USC00411017,BRADY,31.1444,-99.3492,521.5
USC00411138,BROWNWOOD 2NE,31.7228,-99.0142,472.7
USC00411250,BURNET,30.7586,-98.2339,391.7
USC00411875,COLEMAN,31.8281,-99.4178,514.2
USC00412741,EDEN,31.2211,-99.8503,624.2
USC00413329,FREDERICKSBURG,30.2392,-98.9089,513.6
USC00413614,GOLDTHWAITE 1 WSW,31.4406,-98.5903,459.3
USC00413954,HARPER 3ENE,30.3086,-99.203,643.1
USC00414278,HORDS CREEK DAM,31.8456,-99.5606,594.1
USC00414375,HUNT 10 W,30.0631,-99.505,612.6
USC00414605,JOHNSON CITY 2N,30.3,-98.4094,346.6
USC00414670,JUNCTION 4SSW,30.4453,-99.8045,532.5
USC00414782,KERRVILLE 3 NNE,30.0739,-99.1094,547.7
USC00415272,LLANO,30.7425,-98.6542,310.9
USC00415650,MASON,30.7478,-99.2306,466.6
USC00416747,PAINT ROCK,31.5064,-99.9305,504.1
USC00417994,SAN SABA 7NW,31.2842,-98.7589,405.4
USR0000TBEL,BALCONES TEXAS,30.5661,-98.0389,315.5
USR0000TBIR,BIRD TEXAS,30.2625,-98.6289,457.2
USR0000TCLM,COLEMAN TEXAS,31.5061,-99.6594,442.6
USR0000TCOL,COLORADO BEND TEXAS,31.0522,-98.5003,383.7
USR0000TMAS,MASON TEXAS,30.7358,-99.1861,445.9
USW00000225,HORSESHOE BAY RESORT AP,30.5331,-98.3669,333.1
USW00000229,LAMPASAS AP,31.1061,-98.1961,370.0
USW00000357,HAMILTON MUNI AP,31.6661,-98.1489,396.2
USW00003999,BURNET MUNI AP,30.7406,-98.2353,386.2
USW00013973,JUNCTION KIMBLE CO AP,30.5106,-99.7664,521.5
USW00023907,AUSTIN 33 NW,30.6222,-98.0847,414.8
USW00053983,LLANO MUNI AP,30.7836,-98.6619,335.9
USW00053997,COMANCHE CO CITY AP,31.9167,-98.6003,423.1
USW00093947,FREDERICKSBURG GILLESPIE CO AP,30.2433,-98.9097,516.6
USC00410433,AUSTIN GREAT HILLS,30.4144,-97.7664,268.2
USC00410655,BELLVILLE 6NNE,30.0317,-96.2167,85.3
USC00411048,BRENHAM,30.1592,-96.3972,95.4
USC00412585,DRIPPING SPRINGS 6 E,30.2194,-97.9878,330.4
USC00413507,GEORGETOWN LAKE,30.6764,-97.7208,266.4
USC00414792,KILLEEN,31.0658,-97.6919,248.4
USC00416210,NAVARRO MILLS DAM,31.9611,-96.6881,138.4
USC00418446,SOMERVILLE DAM,30.3367,-96.5403,80.2
USC00418862,TAYLOR 1NW,30.5844,-97.4156,174.0
USC00419417,WACO DAM,31.6003,-97.2169,150.9
USR0000TBAS,BASTROP TEXAS,30.1742,-97.2564,116.7
USW00000166,LAGO VISTA RUSTY ALLEN AP,30.5,-97.9669,375.2
USW00000230,AUSTIN EXECUTIVE AP,30.395,-97.5669,188.1
USW00000351,CAMERON MUNI AP,30.8789,-96.9711,123.1
USW00000362,GATESVILLE MUNI AP,31.4169,-97.8,276.1
USW00000461,MEXIA LIMESTONE COUNTY AP,31.6411,-96.5144,166.1
USW00003902,ROBERT GRAY AAF,31.0667,-97.8333,309.4
USW00003904,COLLEGE STN EASTERWOOD FLD,30.5911,-96.3631,96.0
USW00003933,FT HOOD,31.1333,-97.7167,281.6
USW00013904,AUSTIN BERGSTROM INTL AP,30.1831,-97.68,146.6
USW00013958,AUSTIN-CAMP MABRY,30.3208,-97.7603,204.2
USW00013959,WACO RGNL AP,31.6181,-97.2283,151.8
USW00053928,BRENHAM MUNI AP,30.2189,-96.3742,93.9
USW00053942,GEORGETOWN MUNI AP,30.6792,-97.6794,239.9
USW00053952,WACO MCGREGOR EXEC AP,31.4847,-97.3164,180.4
USW00053973,HEARNE MUNI AP,30.8719,-96.6222,86.9
USW00053979,GIDDINGS LEE CO AP,30.1692,-96.98,147.8
USW00063904,TAYLOR MUNI AP,30.5725,-97.4431,182.9
USW00093984,TEMPLE DRAUGHTON MIL,31.15,-97.4167,207.9
USC00410613,BEAUMONT RSCH CTR,30.0689,-94.2928,8.2
USC00411596,CENTERVILLE,31.2581,-95.9744,97.5
USC00411956,CONROE,30.3303,-95.4831,74.7
USC00412114,CROCKETT,31.3072,-95.4508,105.8
USC00414382,HUNTSVILLE,30.7064,-95.5422,150.6
USC00414525,JACKSONVILLE,31.9622,-95.2736,170.7
USC00415435,LUMBERTON,30.2503,-94.1786,11.9
USC00415477,MADISONVILLE,30.9392,-95.9203,76.8
USC00416177,NACOGDOCHES,31.6164,-94.6431,132.6
USC00417841,RUSK,31.8092,-95.1428,211.8
USC00417936,SAM RAYBURN DAM,31.0619,-94.1011,57.6
USC00417951,SAN AUGUSTINE,31.5192,-94.1186,89.9
USC00419101,TOWN BLUFF DAM,30.7931,-94.1819,65.2
USR0000TCLD,COLDSPRINGS TEXAS,30.3106,-95.0867,44.2
USR0000TCON,CONROE TEXAS,30.2364,-95.4828,36.6
USR0000TDAY,DAYTON TEXAS,30.105,-94.9314,30.5
USR0000THUN,HUNTSVILLE TEXAS,30.45,-95.4,108.2
USR0000TLUF,LUFKIN TEXAS,31.3131,-94.8261,74.7
USR0000TPAL,PALESTINE TEXAS,31.7425,-95.5717,115.8
USR0000TRAT,RATCLIFF TEXAS,31.395,-95.1361,91.4
USR0000TSOU,SOUTHERN ROUGH TEXAS,30.5403,-94.3411,30.5
USR0000TWOO,WOODVILLE TEXAS,30.75,-94.4,115.8
USW00053902,CONROE MONTGOMERY CO AP,30.3611,-95.4175,69.5
USW00053903,HUNTSVILLE MUNI AP,30.7444,-95.5867,105.5
USW00053910,HOUSTON HOOKS MEM AP,30.0681,-95.5564,46.6
USW00053948,NACOGDOCHES MANGHAM AP,31.5778,-94.7094,108.2
USW00053968,PALESTINE 6 WNW,31.7797,-95.7233,116.7
USW00093914,PALESTINE 2 NE,31.7831,-95.6039,141.7
USW00093983,PALESTINE MUNI AP,31.7797,-95.7064,128.9
USW00093987,LUFKIN ANGELINA CO AP,31.2358,-94.7547,87.2
USC00160098,ALEXANDRIA,31.3206,-92.4611,26.5
USC00160103,ALEXANDRIA 5 SSE,31.2489,-92.4489,25.9
USC00161232,BOYCE 3 WNW,31.3944,-92.7164,33.5
USC00161287,BUNKIE,30.9594,-92.1786,24.4
USC00163800,GRAND COTEAU,30.4183,-92.0442,16.8
USC00164696,JENA,31.6783,-92.1289,43.6
USC00164700,JENNINGS,30.2003,-92.6642,7.6
USC00165065,LAKE ARTHUR 7 SW,30.0206,-92.7681,3.4
USC00165266,LEESVILLE,31.1417,-93.2397,8.5
USC00166434,MOSS BLUFF 2 NNW,30.3392,-93.215,7.6
USC00166584,NATCHITOCHES #2,31.8142,-93.0856,43.0
USC00166938,OBERLIN FIRE TWR,30.6036,-92.7739,19.8
USC00169074,TOLEDO BEND LAKE,31.2022,-93.5725,55.2
USC00416680,ORANGE 9 N,30.2264,-93.7394,5.5
USR0000LCAT,CATAHOULA - FTS LOUISIANA,31.5022,-92.4617,70.1
USR0000LEVA,EVANGELINE/GARDNER LOUISIANA,31.185,-92.6314,56.4
