"","ID","lat","long","mse"
"6478","QUINAULT 4 NE                                                                                                                                                                                                                                                  ",47.5139,-123.812,1.32349461844388
"6479","EVERETT SNOHOMISH CO AP                                                                                                                                                                                                                                        ",47.9233,-122.283,4.09769542678571
"6480","OLYMPIA AP                                                                                                                                                                                                                                                     ",46.9736,-122.905,4.36080379537997
"6481","SEATTLE TACOMA AP                                                                                                                                                                                                                                              ",47.4447,-122.314,1.47132473043377
"6482","SEATTLE BOEING FLD                                                                                                                                                                                                                                             ",47.5456,-122.315,0.969251099148522
"6483","ASTORIA AP (PORT OF)                                                                                                                                                                                                                                           ",46.1569,-123.883,3.64135733583152
"6484","HOQUIAM BOWERMAN AP                                                                                                                                                                                                                                            ",46.9728,-123.931,6.43991271255274
"6485","SHELTON AP                                                                                                                                                                                                                                                     ",47.2383,-123.141,3.33912248912114
"6486","RENTON MUNI AP                                                                                                                                                                                                                                                 ",47.495,-122.214,1.89046090250364
"6487","BREMERTON                                                                                                                                                                                                                                                      ",47.4833,-122.767,5.35823385265514
"6488","TACOMA NARROWS AP                                                                                                                                                                                                                                              ",47.2675,-122.576,2.32761106091594
"6489","SEATTLE SAND PT WFO                                                                                                                                                                                                                                            ",47.6872,-122.255,0.894176551979249
"6490","CEDAR LAKE                                                                                                                                                                                                                                                     ",47.4144,-121.756,1.99126626559997
"6491","CLE ELUM                                                                                                                                                                                                                                                       ",47.1889,-120.913,3.41341231169339
"6492","EASTON                                                                                                                                                                                                                                                         ",47.2422,-121.187,2.61389305967427
"6493","ELLENSBURG                                                                                                                                                                                                                                                     ",46.9692,-120.54,5.28389505239379
"6494","ENTIAT FISH HATCHERY                                                                                                                                                                                                                                           ",47.6983,-120.323,3.26009991750398
"6495","LANDSBURG                                                                                                                                                                                                                                                      ",47.3767,-121.961,11.6818367566621
"6496","LEAVENWORTH 3 S                                                                                                                                                                                                                                                ",47.5586,-120.675,8.69111649792631
"6497","LONGMIRE RAINIER NPS                                                                                                                                                                                                                                           ",46.7492,-121.812,9.16854771762642
"6498","MONROE                                                                                                                                                                                                                                                         ",47.8453,-121.994,4.10789515392202
"6499","MUD MTN DAM                                                                                                                                                                                                                                                    ",47.1414,-121.936,3.58313162091942
"6500","PALMER 3 ESE                                                                                                                                                                                                                                                   ",47.3089,-121.856,3.17709548414186
"6501","PLAIN                                                                                                                                                                                                                                                          ",47.7583,-120.659,6.43365956716787
"6502","RAINER OHANAPECOSH                                                                                                                                                                                                                                             ",46.7311,-121.571,3.24704538620388
"6503","RAINIER PARADISE RS                                                                                                                                                                                                                                            ",46.7858,-121.743,6.05640683656201
"6504","SELAH 2 NE                                                                                                                                                                                                                                                     ",46.6722,-120.499,4.68908522247358
"6505","STARTUP 1 E                                                                                                                                                                                                                                                    ",47.8672,-121.718,5.4697483105971
"6506","SUNNYSIDE #2                                                                                                                                                                                                                                                   ",46.345,-120.029,4.20957593024572
"6507","TOLT S FK RSVR                                                                                                                                                                                                                                                 ",47.7,-121.691,4.05136591367068
"6508","WENATCHEE                                                                                                                                                                                                                                                      ",47.4289,-120.31,3.46575012922568
"6509","DRY CREEK WASHINGTON                                                                                                                                                                                                                                           ",47.7333,-120.533,4.58832204668648
"6510","FIRE TRAINING ACADEMY WASHINGT                                                                                                                                                                                                                                 ",47.4536,-121.666,1.60501977668102
"6511","GREENWATER WASHINGTON                                                                                                                                                                                                                                          ",47.1556,-121.611,2.30092845468099
"6512","HAGER CREEK WASHINGTON                                                                                                                                                                                                                                         ",46.5667,-121.631,2.4295799803499
"6513","Blewett Pass                                                                                                                                                                                                                                                   ",47.35,-120.68,2.05962138346093
"6514","Upper Wheeler                                                                                                                                                                                                                                                  ",47.29,-120.37,1.1436937790521
"6515","Grouse Camp                                                                                                                                                                                                                                                    ",47.28,-120.49,1.47910699542862
"6516","Pope Ridge                                                                                                                                                                                                                                                     ",47.99,-120.57,1.51877222547538
"6517","Trough                                                                                                                                                                                                                                                         ",47.23,-120.29,2.15873989444663
"6518","Stevens Pass                                                                                                                                                                                                                                                   ",47.75,-121.09,0.69852900637051
"6519","Fish Lake                                                                                                                                                                                                                                                      ",47.54,-121.09,5.28630037766248
"6520","Stampede Pass                                                                                                                                                                                                                                                  ",47.27,-121.34,0.591377087502496
"6521","Corral Pass                                                                                                                                                                                                                                                    ",47.02,-121.46,2.38143090743665
"6522","Rex River                                                                                                                                                                                                                                                      ",47.3,-121.6,1.10932125157725
"6523","Tinkham Creek                                                                                                                                                                                                                                                  ",47.33,-121.47,2.03884668202468
"6524","Mount Gardner                                                                                                                                                                                                                                                  ",47.36,-121.57,1.22165274951759
"6525","Sawmill Ridge                                                                                                                                                                                                                                                  ",47.16,-121.42,1.87852958621694
"6526","Cougar Mountain                                                                                                                                                                                                                                                ",47.28,-121.67,1.49644429967262
"6527","Alpine Meadows                                                                                                                                                                                                                                                 ",47.78,-121.7,1.28064497400603
"6528","Lynn Lake                                                                                                                                                                                                                                                      ",47.2,-121.78,5.76631055677968
"6529","Sasse Ridge                                                                                                                                                                                                                                                    ",47.38,-121.06,2.44662872542312
"6530","Olallie Meadows                                                                                                                                                                                                                                                ",47.37,-121.44,0.838881167923807
"6531","Meadows Pass                                                                                                                                                                                                                                                   ",47.28,-121.47,6.23503175486249
"6532","Skookum Creek                                                                                                                                                                                                                                                  ",47.68,-121.61,1.18884039868155
"6533","Huckleberry Creek                                                                                                                                                                                                                                              ",47.07,-121.59,6.94855480350979
"6534","Burnt Mountain                                                                                                                                                                                                                                                 ",47.04,-121.94,3.22988429321865
"6535","Green Lake                                                                                                                                                                                                                                                     ",46.55,-121.17,2.73801667431584
"6536","Surprise Lakes                                                                                                                                                                                                                                                 ",46.09,-121.76,0.995629446443613
"6537","Potato Hill                                                                                                                                                                                                                                                    ",46.35,-121.51,9.32762743008916
"6538","Morse Lake                                                                                                                                                                                                                                                     ",46.91,-121.48,6.69991844366067
"6539","Spencer Meadow                                                                                                                                                                                                                                                 ",46.18,-121.93,1.55343273620667
"6540","Lone Pine                                                                                                                                                                                                                                                      ",46.27,-121.96,0.787154992357633
"6541","White Pass E.S.                                                                                                                                                                                                                                                ",46.64,-121.38,1.66416424328363
"6542","Pigtail Peak                                                                                                                                                                                                                                                   ",46.62,-121.39,1.07811979787138
"6543","Paradise                                                                                                                                                                                                                                                       ",46.78,-121.75,0.973839268476093
"6544","Bumping Ridge                                                                                                                                                                                                                                                  ",46.81,-121.33,0.974222543196474
"6545","Lost Horse                                                                                                                                                                                                                                                     ",46.36,-121.08,2.4497478283443
"6546","Mowich                                                                                                                                                                                                                                                         ",46.93,-121.95,4.72602567700313
"6547","Cayuse Pass                                                                                                                                                                                                                                                    ",46.87,-121.53,3.59944893236684
"6548","Pepper Creek                                                                                                                                                                                                                                                   ",46.1,-121.96,1.52330389608305
"6549","Skate Creek                                                                                                                                                                                                                                                    ",46.64,-121.83,1.52052816535703
"6550","Pinto Rock                                                                                                                                                                                                                                                     ",46.32,-121.94,0.86233350884516
"6551","ELLENSBURG BOWERS FLD                                                                                                                                                                                                                                          ",47.0339,-120.531,3.96839059759215
"6552","STAMPEDE PASS                                                                                                                                                                                                                                                  ",47.2767,-121.337,1.71866130675563
"6553","YAKIMA AP                                                                                                                                                                                                                                                      ",46.5639,-120.535,3.49129789027693
"6554","WENATCHEE PANGBORN MEM AP                                                                                                                                                                                                                                      ",47.3975,-120.201,3.47283040245387
"6555","CHELAN                                                                                                                                                                                                                                                         ",47.8342,-120,6.05013813792376
"6556","COULEE DAM 1 SW                                                                                                                                                                                                                                                ",47.9544,-119,5.40849569780176
"6557","DAVENPORT                                                                                                                                                                                                                                                      ",47.6636,-118.161,7.88878696457504
"6558","DAYTON 1 WSW                                                                                                                                                                                                                                                   ",46.3153,-118.002,5.78732363369956
"6559","HATTON 9 SE                                                                                                                                                                                                                                                    ",46.7225,-118.653,2.57459517558041
"6560","KENNEWICK                                                                                                                                                                                                                                                      ",46.2111,-119.101,5.10538239358824
"6561","LIND 3 NE                                                                                                                                                                                                                                                      ",47.0022,-118.566,2.84756355764574
"6562","PRIEST RAPIDS DAM                                                                                                                                                                                                                                              ",46.6464,-119.906,22.9987574065746
"6563","PROSSER                                                                                                                                                                                                                                                        ",46.2014,-119.758,9.30193017606756
"6564","QUINCY                                                                                                                                                                                                                                                         ",47.2236,-119.853,5.08509046772775
"6565","RICHLAND                                                                                                                                                                                                                                                       ",46.3119,-119.263,1.70153077319086
"6566","RITZVILLE 1 SSE                                                                                                                                                                                                                                                ",47.1175,-118.371,2.48258942826775
"6567","SAGEMOOR                                                                                                                                                                                                                                                       ",46.3953,-119.071,7.97459354237347
"6568","WHITMAN MISSION                                                                                                                                                                                                                                                ",46.0436,-118.463,21.0938096764198
"6569","WILBUR                                                                                                                                                                                                                                                         ",47.7681,-118.724,6.18161879480945
"6570","COLUMBIA NWR WASHINGTON                                                                                                                                                                                                                                        ",46.8814,-119.324,1.55976856804862
"6571","DOUGLAS WASHINGTON                                                                                                                                                                                                                                             ",47.62,-119.898,3.80685984637364
"6572","MOSES LAKE GRANT CO AP                                                                                                                                                                                                                                         ",47.1931,-119.315,2.53703343496731
"6573","EPHRATA AP                                                                                                                                                                                                                                                     ",47.3078,-119.516,3.63803729502682
"6574","WALLA WALLA RGNL AP                                                                                                                                                                                                                                            ",46.0944,-118.286,5.38630085467003
"6575","PASCO TRI CITIES AP                                                                                                                                                                                                                                            ",46.2694,-119.118,3.50586906582677
"6585","PULLMAN 2 NW                                                                                                                                                                                                                                                   ",46.7603,-117.186,3.01997658840663
"6586","ROSALIA                                                                                                                                                                                                                                                        ",47.2344,-117.364,3.42787152947541
"6587","SPOKANE WFO                                                                                                                                                                                                                                                    ",47.6811,-117.627,2.09100221442054
"6592","ALDER RIDGE WASHINGTON                                                                                                                                                                                                                                         ",46.2733,-117.495,5.77880911927407
"6593","ESCURE WASHINGTON                                                                                                                                                                                                                                              ",47.0378,-117.947,6.42201250257711
"6598","Quartz Peak                                                                                                                                                                                                                                                    ",47.88,-117.09,3.59709109272073
"6599","Ragged Mountain                                                                                                                                                                                                                                                ",47.86,-117.04,3.58969012496233
"6600","Spruce Springs                                                                                                                                                                                                                                                 ",46.18,-117.54,1.03435253129446
"6601","Touchet                                                                                                                                                                                                                                                        ",46.12,-117.85,0.678845576812323
"6602","Sourdough Gulch                                                                                                                                                                                                                                                ",46.24,-117.39,5.30368824479232
"6603","SPOKANE 17 SSW                                                                                                                                                                                                                                                 ",47.4175,-117.526,24.732125534132
"6604","LEWISTON AP                                                                                                                                                                                                                                                    ",46.3744,-117.015,6.44159214750072
"6605","SPOKANE INTL AP                                                                                                                                                                                                                                                ",47.6217,-117.528,9.94178775128068
"6606","DEER PARK AP                                                                                                                                                                                                                                                   ",47.9742,-117.429,5.21370138194723
"6607","PULLMAN MOSCOW RGNL AP                                                                                                                                                                                                                                         ",46.7439,-117.116,1.93945194765855
"6608","SPOKANE FELTS FLD                                                                                                                                                                                                                                              ",47.6858,-117.321,3.92498336918422
"7051","LAKE COWICHAN                                                                                                                                                                                                                                                  ",48.8333,-124.05,9.65771940223682
"7063","NITINAT RIVER HATCHERY                                                                                                                                                                                                                                         ",48.8667,-124.65,7.90247982844079
"7069","ELLIS MT WASHINGTION                                                                                                                                                                                                                                           ",48.1578,-124.315,5.9661242284701
"7070","CHEMAINUS                                                                                                                                                                                                                                                      ",48.9333,-123.75,1.12311381785453
"7071","DISCOVERY ISLAND                                                                                                                                                                                                                                               ",48.4167,-123.233,2.41346964756343
"7072","ESQUIMALT HARBOUR                                                                                                                                                                                                                                              ",48.4333,-123.433,0.662589986123961
"7073","MALAHAT                                                                                                                                                                                                                                                        ",48.5667,-123.533,4.33938467773469
"7074","NORTH COWICHAN                                                                                                                                                                                                                                                 ",48.8167,-123.717,8.5688632930479
"7075","NORTH PENDER ISLAND                                                                                                                                                                                                                                            ",48.7667,-123.283,1.25397732415936
"7076","RACE ROCKS CS                                                                                                                                                                                                                                                  ",48.3,-123.533,1.70899309162592
"7077","SATURNA CAPMON CS                                                                                                                                                                                                                                              ",48.7833,-123.133,1.37101888253789
"7078","SATURNA ISLAND CS                                                                                                                                                                                                                                              ",48.7833,-123.05,2.95083052739507
"7079","SHAWNIGAN LAKE                                                                                                                                                                                                                                                 ",48.65,-123.633,2.76421503862927
"7080","SHERINGHAM POINT                                                                                                                                                                                                                                               ",48.3833,-123.917,3.30818834240159
"7081","VICTORIA UNIVERSITY CS                                                                                                                                                                                                                                         ",48.45,-123.3,1.97114684496858
"7082","VICTORIA GONZALES CS                                                                                                                                                                                                                                           ",48.0333,-123.333,1.61816816594971
"7109","BELLINGHAM 3 SSW                                                                                                                                                                                                                                               ",48.7178,-122.511,8.29285579894933
"7110","CLEARBROOK                                                                                                                                                                                                                                                     ",48.9672,-122.329,5.38055463185209
"7111","SEDRO-WOOLLEY                                                                                                                                                                                                                                                  ",48.4958,-122.236,4.19447473424774
"7112","ARLINGTON MUNI AP                                                                                                                                                                                                                                              ",48.1606,-122.159,5.80842768281703
"7113","BELLINGHAM INTL AP                                                                                                                                                                                                                                             ",48.7992,-122.541,3.68840059823636
"7114","PORT ANGELES FAIRCHILD INTL AP                                                                                                                                                                                                                                 ",48.1219,-123.507,5.45183383460307
"7115","FRIDAY HARBOR AP                                                                                                                                                                                                                                               ",48.52,-123.026,1.68478265742168
"7123","CONCRETE PPL FISH STN                                                                                                                                                                                                                                          ",48.5397,-121.742,1.12495911037012
"7124","DARRINGTON RS                                                                                                                                                                                                                                                  ",48.2606,-121.603,6.77276713726708
"7125","DIABLO DAM                                                                                                                                                                                                                                                     ",48.7142,-121.143,1.16218016863563
"7126","HOLDEN VILLAGE                                                                                                                                                                                                                                                 ",48.1989,-120.774,15.6297009115171
"7127","MAZAMA                                                                                                                                                                                                                                                         ",48.6008,-120.427,8.31879471983724
"7128","NEWHALEM                                                                                                                                                                                                                                                       ",48.6758,-121.242,2.26338497214947
"7129","ROSS DAM                                                                                                                                                                                                                                                       ",48.7272,-121.072,2.95313823659411
"7130","STEHEKIN 4 NW                                                                                                                                                                                                                                                  ",48.3508,-120.726,3.15112057814691
"7131","UPPER BAKER DAM                                                                                                                                                                                                                                                ",48.6525,-121.693,3.1819519218301
"7132","WINTHROP 1 WSW                                                                                                                                                                                                                                                 ",48.4742,-120.189,9.4712147000133
"7133","CAMP 4 WASHINGTON                                                                                                                                                                                                                                              ",48.0181,-120.234,3.35821197355077
"7134","DOUGLAS INGRAM RIDGE WASHINGTO                                                                                                                                                                                                                                 ",48.1156,-120.103,1.55148604739439
"7135","FINNEY CREEK WASHINGTON                                                                                                                                                                                                                                        ",48.4028,-121.79,1.18653391033365
"7136","FIRST BUTTE WASHINGTON                                                                                                                                                                                                                                         ",48.6172,-120.108,3.72030288737709
"7137","GOLD HILL WASHINGTON                                                                                                                                                                                                                                           ",48.2,-121.5,3.57168845652726
"7138","Harts Pass                                                                                                                                                                                                                                                     ",48.72,-120.66,5.02264618182965
"7139","Thunder Basin                                                                                                                                                                                                                                                  ",48.53,-120.99,7.96717476178134
"7140","Rainy Pass                                                                                                                                                                                                                                                     ",48.52,-120.74,0.755077150126956
"7141","Park Creek Ridge                                                                                                                                                                                                                                               ",48.44,-120.92,8.86977057548695
"7142","Lyman Lake                                                                                                                                                                                                                                                     ",48.2,-120.92,2.43102763912936
"7143","Swamp Creek                                                                                                                                                                                                                                                    ",48.57,-120.78,4.11713653935401
"7144","Trinity                                                                                                                                                                                                                                                        ",48.07,-120.85,1.77001149702911
"7145","Beaver Pass                                                                                                                                                                                                                                                    ",48.88,-121.26,2.4192557696375
"7146","Easy Pass                                                                                                                                                                                                                                                      ",48.86,-121.44,0.582992878598998
"7147","Marten Ridge                                                                                                                                                                                                                                                   ",48.76,-121.7,1.4589294185936
"7148","Brown Top                                                                                                                                                                                                                                                      ",48.93,-121.2,1.97251659385191
"7149","Wells Creek                                                                                                                                                                                                                                                    ",48.87,-121.79,0.383694371746822
"7150","Elbow Lake                                                                                                                                                                                                                                                     ",48.69,-121.91,1.13987804286031
"7151","Hozomeen Camp                                                                                                                                                                                                                                                  ",48.98,-121.08,2.43591939028167
"7152","MF Nooksack                                                                                                                                                                                                                                                    ",48.82,-121.93,1.24070935689105
"7153","DARRINGTON 21 NNE                                                                                                                                                                                                                                              ",48.5406,-121.446,2.80949563194629
"7160","REPUBLIC                                                                                                                                                                                                                                                       ",48.6461,-118.737,13.6414135937126
"7161","TONASKET 11NE                                                                                                                                                                                                                                                  ",48.7978,-119.259,4.00873564824864
"7162","AENEAS WASHINGTON                                                                                                                                                                                                                                              ",48.7431,-119.622,1.95085460705048
"7163","BROWN MTN. ORCHARD WASHINGTON                                                                                                                                                                                                                                  ",48.5353,-118.689,14.6843680511858
"7164","GOLD MOUNTAIN WASHINGTON                                                                                                                                                                                                                                       ",48.1806,-118.464,7.17675245499053
"7165","Gold Mountain                                                                                                                                                                                                                                                  ",48.19,-118.46,6.73175225646159
"7166","Sentinel Butte                                                                                                                                                                                                                                                 ",48.86,-118.4,3.42950430152312
"7167","Gold Axe Camp                                                                                                                                                                                                                                                  ",48.95,-118.99,1.57193080108305
"7168","Salmon Meadows                                                                                                                                                                                                                                                 ",48.66,-119.84,6.13956686046544
"7169","Muckamuck                                                                                                                                                                                                                                                      ",48.59,-119.87,7.0130877341123
"7170","Moses Mtn                                                                                                                                                                                                                                                      ",48.36,-119.08,1.88988711820597
"7171","OMAK                                                                                                                                                                                                                                                           ",48.4611,-119.521,5.85507900251377
"7185","BOUNDARY DAM                                                                                                                                                                                                                                                   ",48.9944,-117.354,4.63624694016357
"7186","CHEWELAH                                                                                                                                                                                                                                                       ",48.2733,-117.741,8.57156481036724
"7187","COLVILLE                                                                                                                                                                                                                                                       ",48.5678,-117.936,5.8915829769243
"7188","NEWPORT                                                                                                                                                                                                                                                        ",48.1844,-117.048,4.81793984225498
"7189","NORTHPORT                                                                                                                                                                                                                                                      ",48.8994,-117.829,3.97771015990613
"7193","CEDAR CREEK WASHINGTON                                                                                                                                                                                                                                         ",48.9797,-117.675,2.15257259582474
"7194","DEER MOUNTAIN WASHINGTON                                                                                                                                                                                                                                       ",48.8019,-117.61,9.47740068185802
"7195","FLOWERY TRAIL WASHINGTON                                                                                                                                                                                                                                       ",48.2975,-117.404,1.57943043868889
"7201","Bunchgrass Mdw                                                                                                                                                                                                                                                 ",48.69,-117.18,14.4231534460694
